winloss,date,score,opponent,location,year,record,coach,conference
W,"Sat, October 8",32 - 30,Fresno St,"Fresno, CA",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, October 15",21 - 14,Notre Dame,"South Bend, IN",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, October 22",34 - 28,UTEP,"El Paso, TX",1994,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, October 29",15 - 36,Arizona St,"Provo, UT",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 5",24 - 10,ULM,"Provo, UT",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Thu, November 10",35 - 28,San Diego St,"Cougar Stadium - Provo, UT",1994,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, November 19",31 - 34,Utah,"Salt Lake City, UT",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Thu, December 29",31 - 6,Oklahoma,"Copper Bowl - Tucson, AZ",1994,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, September 2",12 - 38,Air Force,"Air Force Academy, CO",1995,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, September 9",9 - 23,UCLA,"Provo, UT",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, September 16",31 - 19,San Diego St,"Cougar Stadium - Provo, UT",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, September 30",28 - 21,Colorado St,"Fort Collins, CO",1995,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, October 14",21 - 29,Arizona St,"Tempe, AZ",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, October 21",23 - 20,Wyoming,"Provo, UT",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, October 28",45 - 7,Hawai'i,"Provo, UT",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, November 4",45 - 35,Tulsa,"Provo, UT",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, November 11",31 - 14,New Mexico,"Albuquerque, NM",1995,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, November 18",17 - 34,Utah,"Provo, UT",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, November 25",45 - 28,Fresno St,"Fresno, CA",1995,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, August 24",41 - 37,Texas A&M,"Pigskin Classic - Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, August 24",41 - 37,Texas A&M,"Pigskin Classic - Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, August 31",58 - 9,Arkansas St,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, August 31",58 - 9,Arkansas St,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
L,"Sat, September 14",17 - 29,Washington,"Seattle, WA",1996,14-1 (0.933),LaVell Edwards,WAC
L,"Sat, September 14",17 - 29,Washington,"Seattle, WA",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 21",17 - 14,New Mexico,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 21",17 - 14,New Mexico,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 28",31 - 3,SMU,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 28",31 - 3,SMU,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Fri, October 4",45 - 17,Utah St,"Logan, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Fri, October 4",45 - 17,Utah St,"Logan, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 12",63 - 28,UNLV,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 12",63 - 28,UNLV,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 19",55 - 30,Tulsa,"Tulsa, OK",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 19",55 - 30,Tulsa,"Tulsa, OK",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 26",45 - 21,TCU,"Fort Worth, TX",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 26",45 - 21,TCU,"Fort Worth, TX",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 2",40 - 18,UTEP,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 2",40 - 18,UTEP,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 9",49 - 0,Rice,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 9",49 - 0,Rice,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 16",45 - 14,Hawai'i,"Honolulu, HI",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 16",45 - 14,Hawai'i,"Honolulu, HI",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 23",37 - 17,Utah,"Salt Lake City, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 23",37 - 17,Utah,"Salt Lake City, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, December 7",28 - 25,Wyoming,"WAC Championship Game - Las Vegas, NV",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, December 7",28 - 25,Wyoming,"WAC Championship Game - Las Vegas, NV",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Wed, January 1",19 - 15,Kansas St,"Cotton Bowl - Dallas, TX",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Wed, January 1",19 - 15,Kansas St,"Cotton Bowl - Dallas, TX",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, August 24",41 - 37,Texas A&M,"Pigskin Classic - Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, August 24",41 - 37,Texas A&M,"Pigskin Classic - Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, August 31",58 - 9,Arkansas St,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, August 31",58 - 9,Arkansas St,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
L,"Sat, September 14",17 - 29,Washington,"Seattle, WA",1996,14-1 (0.933),LaVell Edwards,WAC
L,"Sat, September 14",17 - 29,Washington,"Seattle, WA",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 21",17 - 14,New Mexico,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 21",17 - 14,New Mexico,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 28",31 - 3,SMU,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, September 28",31 - 3,SMU,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Fri, October 4",45 - 17,Utah St,"Logan, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Fri, October 4",45 - 17,Utah St,"Logan, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 12",63 - 28,UNLV,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 12",63 - 28,UNLV,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 19",55 - 30,Tulsa,"Tulsa, OK",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 19",55 - 30,Tulsa,"Tulsa, OK",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 26",45 - 21,TCU,"Fort Worth, TX",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, October 26",45 - 21,TCU,"Fort Worth, TX",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 2",40 - 18,UTEP,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 2",40 - 18,UTEP,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 9",49 - 0,Rice,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 9",49 - 0,Rice,"Provo, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 16",45 - 14,Hawai'i,"Honolulu, HI",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 16",45 - 14,Hawai'i,"Honolulu, HI",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 23",37 - 17,Utah,"Salt Lake City, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, November 23",37 - 17,Utah,"Salt Lake City, UT",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, December 7",28 - 25,Wyoming,"WAC Championship Game - Las Vegas, NV",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Sat, December 7",28 - 25,Wyoming,"WAC Championship Game - Las Vegas, NV",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Wed, January 1",19 - 15,Kansas St,"Cotton Bowl - Dallas, TX",1996,14-1 (0.933),LaVell Edwards,WAC
W,"Wed, January 1",19 - 15,Kansas St,"Cotton Bowl - Dallas, TX",1996,14-1 (0.933),LaVell Edwards,WAC
L,"Sat, September 6",20 - 42,Washington,"Provo, UT",1997,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, September 20",13 - 10,Arizona St,"Tempe, AZ",1997,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, September 27",19 - 16,SMU,"Dallas, TX",1997,6-5 (0.546),LaVell Edwards,WAC
W,"Fri, October 3",42 - 35,Utah St,"Provo, UT",1997,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, October 11",14 - 27,Rice,"Houston, TX",1997,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, October 18",17 - 3,Hawai'i,"Provo, UT",1997,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, October 25",31 - 10,TCU,"Provo, UT",1997,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, November 1",3 - 14,UTEP,"El Paso, TX",1997,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, November 8",49 - 39,Tulsa,"Provo, UT",1997,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, November 15",28 - 38,New Mexico,"Albuquerque, NM",1997,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, November 22",14 - 20,Utah,"Provo, UT",1997,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, September 5",31 - 38,Alabama,"Tuscaloosa, AL",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, September 12",26 - 6,Arizona St,"Provo, UT",1998,9-5 (0.643),LaVell Edwards,WAC
L,"Sat, September 19",10 - 20,Washington,"Seattle, WA",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, September 26",43 - 9,Murray St,"Provo, UT",1998,9-5 (0.643),LaVell Edwards,WAC
L,"Sat, October 3",21 - 31,Fresno St,"Fresno, CA",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, October 10",38 - 14,UNLV,"Provo, UT",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, October 17",31 - 9,Hawai'i,"Honolulu, HI",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, October 24",46 - 43,San Jose St,"Provo, UT",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Thu, October 29",13 - 0,San Diego St,"Cougar Stadium - Provo, UT",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, November 7",46 - 21,New Mexico,"Provo, UT",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, November 14",31 - 14,UTEP,"El Paso, TX",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Sat, November 21",26 - 24,Utah,"Salt Lake City, UT",1998,9-5 (0.643),LaVell Edwards,WAC
L,"Sat, December 5",13 - 20,Air Force,"WAC Championship Game - Las Vegas, NV",1998,9-5 (0.643),LaVell Edwards,WAC
L,"Thu, December 31",27 - 41,Tulane,"Liberty Bowl - Memphis, TN",1998,9-5 (0.643),LaVell Edwards,WAC
W,"Thu, September 9",35 - 28,Washington,"Provo, UT",1999,8-4 (0.667),LaVell Edwards,Mountain West
W,"Thu, September 16",34 - 13,Colorado St,"Provo, UT",1999,8-4 (0.667),LaVell Edwards,Mountain West
L,"Sat, September 25",40 - 45,Virginia,"Provo, UT",1999,8-4 (0.667),LaVell Edwards,Mountain West
W,"Fri, October 1",34 - 31,Utah St,"Logan, UT",1999,8-4 (0.667),LaVell Edwards,Mountain West
W,"Sat, October 9",38 - 28,California,"Provo, UT",1999,8-4 (0.667),LaVell Edwards,Mountain West
W,"Sat, October 16",31 - 7,New Mexico,"Albuquerque, NM",1999,8-4 (0.667),LaVell Edwards,Mountain West
W,"Sat, October 23",29 - 0,UNLV,"Las Vegas, NV",1999,8-4 (0.667),LaVell Edwards,Mountain West
W,"Sat, October 30",27 - 20,Air Force,"Provo, UT",1999,8-4 (0.667),LaVell Edwards,Mountain West
W,"Sat, November 6",30 - 7,San Diego St,"Qualcomm Stadium - San Diego, CA",1999,8-4 (0.667),LaVell Edwards,Mountain West
L,"Sat, November 13",17 - 31,Wyoming,"Laramie, WY",1999,8-4 (0.667),LaVell Edwards,Mountain West
L,"Sat, November 20",17 - 20,Utah,"Provo, UT",1999,8-4 (0.667),LaVell Edwards,Mountain West
L,"Mon, December 27",3 - 21,Marshall,"Motor City Bowl - Pontiac, MI",1999,8-4 (0.667),LaVell Edwards,Mountain West
L,"Sat, August 26",3 - 29,Florida St,"Pigskin Classic - Jacksonville, FL",2000,6-6 (0.500),LaVell Edwards,Mountain West
W,"Sat, September 2",38 - 35,Virginia,"Charlottesville, VA",2000,6-6 (0.500),LaVell Edwards,Mountain West
L,"Sat, September 9",23 - 31,Air Force,"Air Force Academy, CO",2000,6-6 (0.500),LaVell Edwards,Mountain West
L,"Thu, September 14",28 - 44,Mississippi St,"Provo, UT",2000,6-6 (0.500),LaVell Edwards,Mountain West
W,"Sat, September 23",10 - 7,UNLV,"Provo, UT",2000,6-6 (0.500),LaVell Edwards,Mountain West
L,"Sat, September 30",14 - 42,Syracuse,"Syracuse, NY",2000,6-6 (0.500),LaVell Edwards,Mountain West
W,"Fri, October 6",38 - 14,Utah St,"Provo, UT",2000,6-6 (0.500),LaVell Edwards,Mountain West
L,"Sat, October 21",15 - 16,San Diego St,"Cougar Stadium - Provo, UT",2000,6-6 (0.500),LaVell Edwards,Mountain West
W,"Thu, October 26",19 - 7,Wyoming,"Provo, UT",2000,6-6 (0.500),LaVell Edwards,Mountain West
L,"Thu, November 2",21 - 45,Colorado St,"Fort Collins, CO",2000,6-6 (0.500),LaVell Edwards,Mountain West
W,"Sat, November 18",37 - 13,New Mexico,"Provo, UT",2000,6-6 (0.500),LaVell Edwards,Mountain West
W,"Fri, November 24",34 - 27,Utah,"Salt Lake City, UT",2000,6-6 (0.500),LaVell Edwards,Mountain West
W,"Sat, August 25",70 - 35,Tulane,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, August 25",70 - 35,Tulane,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 1",52 - 7,Nevada,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 1",52 - 7,Nevada,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 8",44 - 16,California,"Memorial Stadium (Berkeley, CA) - Berkeley, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 8",44 - 16,California,"Memorial Stadium (Berkeley, CA) - Berkeley, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 29",35 - 31,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 29",35 - 31,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Fri, October 5",54 - 34,Utah St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Fri, October 5",54 - 34,Utah St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 13",24 - 20,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 13",24 - 20,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 27",59 - 21,San Diego St,"Qualcomm Stadium - San Diego, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 27",59 - 21,San Diego St,"Qualcomm Stadium - San Diego, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Thu, November 1",56 - 34,Colorado St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Thu, November 1",56 - 34,Colorado St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 10",41 - 34,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 10",41 - 34,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 17",24 - 21,Utah,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 17",24 - 21,Utah,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, December 1",41 - 38,Mississippi St,"Davis Wade Stadium - Starkville, MS",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, December 1",41 - 38,Mississippi St,"Davis Wade Stadium - Starkville, MS",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Sat, December 8",45 - 72,Hawai'i,"Aloha Stadium - Honolulu, HI",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Sat, December 8",45 - 72,Hawai'i,"Aloha Stadium - Honolulu, HI",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Mon, December 31",10 - 28,Louisville,"Liberty Bowl Memorial Stadium - Memphis, TN",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Mon, December 31",10 - 28,Louisville,"Liberty Bowl Memorial Stadium - Memphis, TN",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, August 25",70 - 35,Tulane,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, August 25",70 - 35,Tulane,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 1",52 - 7,Nevada,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 1",52 - 7,Nevada,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 8",44 - 16,California,"Memorial Stadium (Berkeley, CA) - Berkeley, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 8",44 - 16,California,"Memorial Stadium (Berkeley, CA) - Berkeley, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 29",35 - 31,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, September 29",35 - 31,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Fri, October 5",54 - 34,Utah St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Fri, October 5",54 - 34,Utah St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 13",24 - 20,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 13",24 - 20,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 27",59 - 21,San Diego St,"Qualcomm Stadium - San Diego, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, October 27",59 - 21,San Diego St,"Qualcomm Stadium - San Diego, CA",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Thu, November 1",56 - 34,Colorado St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Thu, November 1",56 - 34,Colorado St,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 10",41 - 34,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 10",41 - 34,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 17",24 - 21,Utah,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, November 17",24 - 21,Utah,"LaVell Edwards Stadium - Provo, UT",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, December 1",41 - 38,Mississippi St,"Davis Wade Stadium - Starkville, MS",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Sat, December 1",41 - 38,Mississippi St,"Davis Wade Stadium - Starkville, MS",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Sat, December 8",45 - 72,Hawai'i,"Aloha Stadium - Honolulu, HI",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Sat, December 8",45 - 72,Hawai'i,"Aloha Stadium - Honolulu, HI",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Mon, December 31",10 - 28,Louisville,"Liberty Bowl Memorial Stadium - Memphis, TN",2001,11-2 (0.846),Gary Crowton,Mountain West
L,"Mon, December 31",10 - 28,Louisville,"Liberty Bowl Memorial Stadium - Memphis, TN",2001,11-2 (0.846),Gary Crowton,Mountain West
W,"Thu, August 29",42 - 21,Syracuse,"LaVell Edwards Stadium - Provo, UT",2002,5-7 (0.417),Gary Crowton,Mountain West
W,"Fri, September 6",35 - 32,Hawai'i,"LaVell Edwards Stadium - Provo, UT",2002,5-7 (0.417),Gary Crowton,Mountain West
L,"Sat, September 14",28 - 31,Nevada,"Mackay Stadium - Reno, NV",2002,5-7 (0.417),Gary Crowton,Mountain West
L,"Sat, September 21",19 - 28,Georgia Tech,"Bobby Dodd Stadium - Atlanta, GA",2002,5-7 (0.417),Gary Crowton,Mountain West
W,"Fri, October 4",35 - 34,Utah St,"Romney Stadium - Logan, UT",2002,5-7 (0.417),Gary Crowton,Mountain West
L,"Sat, October 12",9 - 52,Air Force,"Falcon Stadium - Usaf Academy, CO",2002,5-7 (0.417),Gary Crowton,Mountain West
L,"Sat, October 19",3 - 24,UNLV,"LaVell Edwards Stadium - Provo, UT",2002,5-7 (0.417),Gary Crowton,Mountain West
L,"Thu, October 24",10 - 37,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2002,5-7 (0.417),Gary Crowton,Mountain West
W,"Sat, November 2",34 - 10,San Diego St,"LaVell Edwards Stadium - Provo, UT",2002,5-7 (0.417),Gary Crowton,Mountain West
W,"Sat, November 9",35 - 31,Wyoming,"LaVell Edwards Stadium - Provo, UT",2002,5-7 (0.417),Gary Crowton,Mountain West
L,"Sat, November 16",16 - 20,New Mexico,"LaVell Edwards Stadium - Provo, UT",2002,5-7 (0.417),Gary Crowton,Mountain West
L,"Sat, November 23",6 - 13,Utah, ,2002,5-7 (0.417),Gary Crowton,Mountain West
W,"Thu, August 28",24 - 13,Georgia Tech,"LaVell Edwards Stadium - Provo, UT",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Sat, September 6",18 - 35,USC,"Los Angeles Memorial Coliseum - Los Angeles, CA",2003,4-8 (0.333),Gary Crowton,Mountain West
W,"Sat, September 13",10 - 7,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Sat, September 20",14 - 18,Stanford,"LaVell Edwards Stadium - Provo, UT",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Sat, September 27",10 - 24,Air Force,"LaVell Edwards Stadium - Provo, UT",2003,4-8 (0.333),Gary Crowton,Mountain West
W,"Sat, October 4",44 - 36,San Diego St,"Qualcomm Stadium - San Diego, CA",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Thu, October 9",13 - 58,Colorado St,"LaVell Edwards Stadium - Provo, UT",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Sat, October 18",10 - 13,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2003,4-8 (0.333),Gary Crowton,Mountain West
W,"Sat, October 25",27 - 20,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Thu, October 30",12 - 50,Boise St,"LaVell Edwards Stadium - Provo, UT",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Sat, November 15",14 - 33,Notre Dame,"Notre Dame Stadium - Notre Dame, IN",2003,4-8 (0.333),Gary Crowton,Mountain West
L,"Sat, November 22",0 - 3,Utah,"LaVell Edwards Stadium - Provo, UT",2003,4-8 (0.333),Gary Crowton,Mountain West
W,"Sat, September 4",20 - 17,Notre Dame,"LaVell Edwards Stadium - Provo, UT",2004,5-6 (0.455),Gary Crowton,Mountain West
L,"Sat, September 11",10 - 37,Stanford,"Stanford Stadium - Stanford, CA",2004,5-6 (0.455),Gary Crowton,Mountain West
L,"Sat, September 18",10 - 42,USC,"LaVell Edwards Stadium - Provo, UT",2004,5-6 (0.455),Gary Crowton,Mountain West
L,"Fri, September 24",27 - 28,Boise St,"Albertsons Stadium - Boise, ID",2004,5-6 (0.455),Gary Crowton,Mountain West
W,"Sat, October 2",31 - 21,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2004,5-6 (0.455),Gary Crowton,Mountain West
L,"Fri, October 8",20 - 24,UNLV,"LaVell Edwards Stadium - Provo, UT",2004,5-6 (0.455),Gary Crowton,Mountain West
W,"Sat, October 16",24 - 13,Wyoming,"LaVell Edwards Stadium - Provo, UT",2004,5-6 (0.455),Gary Crowton,Mountain West
W,"Sat, October 23",41 - 24,Air Force,"Falcon Stadium - Usaf Academy, CO",2004,5-6 (0.455),Gary Crowton,Mountain West
W,"Sat, November 6",49 - 16,San Diego St,"LaVell Edwards Stadium - Provo, UT",2004,5-6 (0.455),Gary Crowton,Mountain West
L,"Sat, November 13",14 - 21,New Mexico,"LaVell Edwards Stadium - Provo, UT",2004,5-6 (0.455),Gary Crowton,Mountain West
L,"Sat, November 20",21 - 52,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2004,5-6 (0.455),Gary Crowton,Mountain West
L,"Sat, September 3",3 - 20,Boston College,"LaVell Edwards Stadium - Provo, UT",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
W,"Sat, September 10",45 - 10,Eastern Illinois,"LaVell Edwards Stadium - Provo, UT",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
L,"Sat, September 24",50 - 51,TCU,"LaVell Edwards Stadium - Provo, UT",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
L,"Sat, October 1",10 - 31,San Diego St,"Qualcomm Stadium - San Diego, CA",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
W,"Sat, October 8",27 - 24,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
